postal_code,raw_visit_counts,raw_visitor_counts
10001,86500,43286
10002,61367,31763
10003,58299,32384
10004,15069,7835
10005,10290,4685
10006,5622,3060
10007,102995,67562
10009,36661,18536
10010,28930,15926
10011,34191,19297
10012,24047,15051
10013,38060,22259
10014,24402,14291
10016,67072,31837
10017,28018,15468
10018,40965,22153
10019,79229,38967
10020,3023,1559
10021,50442,20241
10022,43209,24586
10023,35840,18162
10024,30839,16606
10025,64886,33761
10026,33069,18407
10027,61727,33545
10028,28980,15876
10029,96866,49134
10030,22889,12169
10031,37441,19619
10032,53298,25558
10033,34992,19613
10034,33624,16760
10035,53088,26356
10036,49056,24924
10037,27194,12834
10038,36009,19675
10039,30303,14384
10040,27026,14123
10044,11836,6461
10065,64467,28861
10069,3993,1580
10075,14580,7578
10128,45569,24441
10280,3378,1823
10282,4193,1960
11101,1591,842
11102,3030,1431
11103,2457,1249
11104,614,331
11105,2702,1297
11106,2208,1344
11109,1,1
11201,11558,5639
11203,1872,763
11204,2862,1108
11205,1858,940
11206,1116,474
11207,11892,6564
11208,16171,9099
11209,10056,5037
11210,3821,2170
11211,10986,6843
11212,5830,1944
11213,5474,2798
11214,7773,4456
11215,14627,7759
11216,1582,876
11217,531,344
11218,1020,662
11219,3103,1738
11220,3591,1607
11221,3224,1551
11222,5023,3165
11223,3381,1474
11224,4678,2280
11225,1325,740
11226,4724,2106
11228,4150,2103
11229,4411,2145
11230,11550,5935
11231,3330,1480
11232,2490,1127
11233,8569,3934
11234,19043,9181
11235,12387,6020
11236,12844,5174
11237,1511,710
11238,2926,1924
11239,4436,1864
11354,2311,974
11355,15878,5316
11356,3777,1412
11357,1138,483
11358,2626,1134
11360,2530,1157
11361,2086,989
11362,1732,742
11363,1291,517
11364,1643,547
11365,1911,805
11366,7,2
11367,1810,784
11368,11628,5317
11369,1252,544
11370,463,192
11372,4731,2127
11373,6308,3281
11374,464,233
11375,4653,2198
11377,5558,2985
11378,1736,888
11379,3942,1794
11385,2815,1635
11411,789,340
11412,431,211
11413,3313,1816
11414,1038,633
11415,578,287
11416,1780,741
11417,1717,737
11418,620,198
11419,461,208
11420,1954,917
11421,4978,2352
11422,5331,2787
11423,853,241
11426,1174,494
11427,4597,1862
11428,919,414
11429,4154,1921
11432,4597,2267
11433,2427,1119
11434,3940,2000
11435,1807,862
11436,3452,1774
11691,3698,1644
11692,5388,2199
11693,2288,1032
11694,3408,1516
