FIPS,GEOID,COUNTY,pop_as,total,pop_white,p_rent,med_rent,med_income,i_white,i_asian
"36047000100",14000US36047000100,"47",260.000,4367.000,3149.000,27.700,1494.000,80318.000,98226.000,50500.000
"36047000200",14000US36047000200,"47",0.000,1561.000,324.000,41.600,1286.000,35500.000,31250.000,
"36047000301",14000US36047000301,"47",101.000,3944.000,3221.000,23.600,1996.000,105509.000,113056.000,17219.000
"36047000501",14000US36047000501,"47",477.000,4661.000,3523.000,24.700,1902.000,110625.000,118406.000,51583.000
"36047000502",14000US36047000502,"47",190.000,2632.000,2185.000,29.700,1910.000,90375.000,92645.000,80781.000
"36047000700",14000US36047000700,"47",374.000,3765.000,3121.000,23.500,2001.000,135096.000,141985.000,130568.000
"36047000900",14000US36047000900,"47",478.000,4163.000,3074.000,23.700,2001.000,117348.000,122721.000,85417.000
"36047001100",14000US36047001100,"47",89.000,701.000,451.000,27.500,2001.000,103500.000,96630.000,140278.000
"36047001300",14000US36047001300,"47",352.000,2627.000,1646.000,24.100,1963.000,109821.000,110417.000,77344.000
"36047001500",14000US36047001500,"47",1042.000,5240.000,2187.000,27.300,2001.000,90993.000,121899.000,81488.000
"36047001800",14000US36047001800,"47",80.000,2206.000,703.000,,,,,
"36047002000",14000US36047002000,"47",87.000,1321.000,425.000,27.200,1366.000,71442.000,71635.000,86389.000
"36047002100",14000US36047002100,"47",261.000,3798.000,3006.000,19.300,2001.000,204205.000,207813.000,250001.000
"36047002200",14000US36047002200,"47",908.000,4774.000,2045.000,32.700,1129.000,38702.000,38288.000,47083.000
"36047002300",14000US36047002300,"47",689.000,4370.000,343.000,25.100,403.000,20169.000,21827.000,33958.000
"36047002901",14000US36047002901,"47",432.000,3409.000,292.000,29.700,386.000,14872.000,9205.000,14519.000
"36047003000",14000US36047003000,"47",94.000,1870.000,1448.000,25.500,1315.000,65699.000,73750.000,65833.000
"36047003100",14000US36047003100,"47",346.000,2745.000,817.000,24.300,1454.000,71797.000,100278.000,70250.000
"36047003300",14000US36047003300,"47",281.000,3008.000,1821.000,27.100,2001.000,98472.000,113594.000,27031.000
"36047003400",14000US36047003400,"47",352.000,3127.000,2679.000,29.100,1368.000,84091.000,76111.000,130521.000
"36047003500",14000US36047003500,"47",208.000,1723.000,542.000,32.500,1285.000,60435.000,116750.000,77000.000
"36047003600",14000US36047003600,"47",912.000,4512.000,2838.000,28.000,1360.000,70081.000,57975.000,102634.000
"36047003700",14000US36047003700,"47",79.000,882.000,675.000,26.700,2001.000,101579.000,105417.000,152941.000
"36047003800",14000US36047003800,"47",335.000,1673.000,1276.000,21.300,1525.000,99459.000,94074.000,171250.000
"36047003900",14000US36047003900,"47",376.000,2498.000,1439.000,28.200,1649.000,104728.000,128235.000,84485.000
"36047004100",14000US36047004100,"47",287.000,3587.000,2515.000,27.400,1981.000,108105.000,115399.000,95000.000
"36047004300",14000US36047004300,"47",271.000,3107.000,2104.000,26.700,1702.000,108929.000,121382.000,83889.000
"36047004400",14000US36047004400,"47",267.000,2382.000,2077.000,24.900,1344.000,86667.000,86625.000,88214.000
"36047004500",14000US36047004500,"47",147.000,3438.000,3074.000,27.800,2001.000,126250.000,133147.000,54333.000
"36047004600",14000US36047004600,"47",89.000,1396.000,1238.000,20.300,1273.000,90556.000,91944.000,87063.000
"36047004700",14000US36047004700,"47",115.000,1699.000,959.000,25.500,1443.000,104471.000,114375.000,146500.000
"36047004900",14000US36047004900,"47",130.000,2410.000,1736.000,26.500,1720.000,104444.000,112614.000,54214.000
"36047005000",14000US36047005000,"47",150.000,2468.000,2249.000,29.400,1506.000,82802.000,82586.000,142656.000
"36047005100",14000US36047005100,"47",147.000,2181.000,1672.000,25.000,2001.000,87438.000,91576.000,90000.000
"36047005201",14000US36047005201,"47",235.000,1716.000,1381.000,30.200,536.000,17129.000,27464.000,9842.000
"36047005202",14000US36047005202,"47",135.000,2439.000,2131.000,29.700,1511.000,68750.000,73694.000,90682.000
"36047005300",14000US36047005300,"47",76.000,2506.000,1307.000,32.000,1440.000,70737.000,100179.000,34286.000
"36047005400",14000US36047005400,"47",448.000,3529.000,2936.000,27.900,1395.000,57928.000,59079.000,47656.000
"36047005601",14000US36047005601,"47",291.000,2622.000,2035.000,41.200,1346.000,52761.000,54343.000,53750.000
"36047005602",14000US36047005602,"47",234.000,1862.000,1384.000,30.700,1252.000,53167.000,51026.000,96458.000
"36047005800",14000US36047005800,"47",717.000,3424.000,2615.000,34.300,1285.000,47118.000,48548.000,26638.000
"36047005900",14000US36047005900,"47",45.000,1280.000,895.000,32.300,1740.000,57135.000,72308.000,
"36047006000",14000US36047006000,"47",340.000,2798.000,2284.000,28.600,1360.000,68438.000,70441.000,51250.000
"36047006200",14000US36047006200,"47",470.000,2883.000,1909.000,33.900,1403.000,45139.000,53289.000,26538.000
"36047006300",14000US36047006300,"47",112.000,1943.000,1706.000,26.500,2001.000,90341.000,86117.000,102404.000
"36047006400",14000US36047006400,"47",355.000,3618.000,2866.000,35.300,1259.000,51667.000,52271.000,90938.000
"36047006500",14000US36047006500,"47",76.000,5319.000,4807.000,24.800,2001.000,104172.000,103313.000,
"36047006600",14000US36047006600,"47",471.000,3933.000,2898.000,26.500,1279.000,59852.000,51648.000,105536.000
"36047006700",14000US36047006700,"47",101.000,3616.000,3330.000,19.500,2001.000,156118.000,154766.000,216382.000
"36047006800",14000US36047006800,"47",835.000,5213.000,3392.000,39.600,1219.000,37012.000,32089.000,44306.000
"36047006900",14000US36047006900,"47",212.000,3913.000,2781.000,24.400,2001.000,116058.000,130682.000,180938.000
"36047007000",14000US36047007000,"47",581.000,2672.000,1778.000,38.200,1113.000,43309.000,47102.000,35521.000
"36047007100",14000US36047007100,"47",127.000,4835.000,1619.000,26.500,535.000,31632.000,72072.000,31375.000
"36047007200",14000US36047007200,"47",762.000,2284.000,522.000,37.400,1210.000,37140.000,46042.000,45609.000
"36047007400",14000US36047007400,"47",1178.000,5633.000,1488.000,37.900,1334.000,40625.000,54375.000,31181.000
"36047007500",14000US36047007500,"47",676.000,4909.000,3552.000,22.500,2001.000,135218.000,117742.000,202973.000
"36047007600",14000US36047007600,"47",1065.000,4432.000,1276.000,40.400,1209.000,32616.000,52700.000,30875.000
"36047007700",14000US36047007700,"47",398.000,4352.000,3273.000,21.900,1960.000,120290.000,120160.000,160139.000
"36047007800",14000US36047007800,"47",598.000,5582.000,2420.000,34.900,1271.000,39375.000,31967.000,44414.000
"36047008000",14000US36047008000,"47",320.000,4252.000,1505.000,37.900,1361.000,49081.000,46827.000,33600.000
"36047008200",14000US36047008200,"47",610.000,4304.000,1333.000,32.700,1230.000,42412.000,41458.000,13239.000
"36047008400",14000US36047008400,"47",131.000,3905.000,1453.000,42.300,1354.000,43942.000,53194.000,103942.000
"36047008500",14000US36047008500,"47",192.000,6654.000,1031.000,30.000,409.000,14002.000,20768.000,9444.000
"36047008600",14000US36047008600,"47",0.000,0.000,0.000,,,,,
"36047008800",14000US36047008800,"47",358.000,3126.000,1336.000,42.600,1386.000,40982.000,48750.000,26131.000
"36047009000",14000US36047009000,"47",1366.000,3330.000,715.000,41.800,1303.000,33654.000,35375.000,29479.000
