Geo_FIPS,Geo_GEOID,Geo_COUNTY,total_pop,asian,inc_as,med_rent
36047000100,14000US36047000100,47,4405,383,90667,1659
36047000200,14000US36047000200,47,1167,58,27083,1497
36047000301,14000US36047000301,47,3924,219,,2201
36047000501,14000US36047000501,47,4308,469,,2035
36047000502,14000US36047000502,47,2697,308,127222,2317
36047000700,14000US36047000700,47,3906,180,186607,2356
36047000900,14000US36047000900,47,4518,498,171691,3087
36047001100,14000US36047001100,47,1468,244,114000,3180
36047001300,14000US36047001300,47,1917,192,61705,2439
36047001500,14000US36047001500,47,9011,2159,42813,2805
36047001800,14000US36047001800,47,1897,57,,
36047002000,14000US36047002000,47,1412,99,,1250
36047002100,14000US36047002100,47,5106,536,173162,3501
36047002200,14000US36047002200,47,4698,502,27895,1370
36047002300,14000US36047002300,47,4219,533,18875,488
36047002901,14000US36047002901,47,4447,789,27100,655
36047003000,14000US36047003000,47,1718,229,,1517
36047003100,14000US36047003100,47,3259,694,178229,2831
36047003300,14000US36047003300,47,4202,480,172303,2768
36047003400,14000US36047003400,47,3161,796,123125,1460
36047003500,14000US36047003500,47,1907,196,152667,1771
36047003600,14000US36047003600,47,3500,640,54511,1496
36047003700,14000US36047003700,47,2250,361,199306,3198
36047003800,14000US36047003800,47,1371,278,66932,1678
36047003900,14000US36047003900,47,2262,384,,1713
36047004100,14000US36047004100,47,3654,267,,2533
36047004300,14000US36047004300,47,3727,406,174844,2259
36047004400,14000US36047004400,47,2518,253,163750,1450
36047004500,14000US36047004500,47,3385,340,148958,2468
36047004600,14000US36047004600,47,1301,115,106250,1694
36047004700,14000US36047004700,47,1877,104,,1629
36047004900,14000US36047004900,47,2612,211,114740,2486
36047005000,14000US36047005000,47,2260,218,211111,1791
36047005100,14000US36047005100,47,2744,162,73173,2696
36047005201,14000US36047005201,47,1707,335,10739,379
36047005202,14000US36047005202,47,2442,52,,1789
36047005300,14000US36047005300,47,2167,68,112000,1945
36047005400,14000US36047005400,47,3185,543,77778,1582
